Regex_Id,Regex_Text,Regex_Class
1,(?i)your\smouth\sshut,Personal
2,(?i)shitty\squestion,Personal
3,(?i)crap\squestion,Personal
4,(?i)jerk(\s)?off,Swearing
5,(?i)(\b)loo?ser,Personal
6,(?i)\bhell,Personal
7,(?i)(^|\s)kill\syou(\.|!|\s|$),Personal
8,(?i)\bsnob,Personal
9,(?i)shut\s?up,Personal
10,(?i)(\b)?debil,Personal
11,(?i)(\b)?bully(ing)?,Personal
12,(?i)(?<!flask\-)\bwtf,Swearing
13,(?i)(\b)?shit,Personal
14,(?i)(\b)?fools?,Personal
15,(?i)(\b)?crap(p|y|py)?,Personal
16,(?i)(\b)childish,Personal
17,(?i)(\b)junior,Personal
18,(?i)\bmonkey,Personal
19,(?i)(\b)silly,Personal
20,(?i)(\b)?gibberish,Personal
21,(?i)(\b)?ignorant,Personal
22,(?i)(\b)troll,Personal
23,(?i)(\b)?haters?,Personal
24,(?i)(\b)?douche,Personal
25,(?i)this\s*(\w+)?\s*spam,Personal
26,(?i)(flag.*spam),Personal
27,(?i)\binsults?\b(?! to injury),Personal
28,(?i)butt[\s-]?hurt,Personal
29,(?i)(\b)?rude,Personal
30,(?i)(\b)?offensive,Personal
31,(?i)(\b)?arrogant,Personal
32,(?i)(\b)?sarcasm,Personal
33,(?i)(\b)?abus(e|ing)?,Personal
34,(?i)(\b)?plagiari,Personal
35,(?i)(\b)?plagiarism,Personal
36,(?i)(^|\s)stfw(\s|\.|!|\?|$)?,Personal
37,(?i)(?<!)('| |!|\?|$),Personal
38,(?i)f\W*u\W*c\W*k\W*o\W*f,Swearing
39,(?i)(\b)?(yo)?u suck,Swearing
40,"(?i)(\b)?a\s{0,6}hole",Swearing
41,(?i)dumb\s?ass,Swearing
42,(?i)\bf\W*a\W*g\b,Swearing
43,(?i)\bg\W*a\W*y\b,Swearing
44,(?i)(\b)?sluts?\b,Swearing
45,"(?i)(fuck)\s(of|e.{0,2}r|u|yo)",Swearing
46,(?i)(^|\s)s\W*c\W*r\W*e\W*w y(\s|\.|!|$),Swearing
47,(?i)(\b)?bitch(s|es)?,Swearing
48,(?i)\bd\W*i\W*c\W*k\b,Swearing
49,(?i)pussy\b,Swearing
50,(?i)(\b)?pedo\b,Swearing
51,(?i)whore(s|ing|(\b)),Swearing
52,(?i)(^|\s)cunt(\s|\.|!|\?|$),Swearing
53,(?i)\bcock,Swearing
54,(?i)dildo,Swearing
55,(?i)penis,Swearing
56,(?i)(^|\s)(rape|raping|rapist),Swearing
57,(?i)s\W*u\W*c\W*k\s(my|it),Swearing
58,(?i)ejaculat(es|ed|ing),Swearing
59,(?i)lesbian,Swearing
60,(?i)shit\s?face,Swearing
61,(?i)acrotomophilia,Swearing
62,(?i)\banal\b,Swearing
63,(?i)clitoris,Swearing
64,(?i)\banus\b,Swearing
65,(?i)blow\s?job,Swearing
66,(?i)camslut,Swearing
67,(?i)cornhole,Swearing
68,(?i)creampie,Swearing
69,(?i)(^|\s)cum\s,Swearing
70,(?i)bung(\s)?hole,Swearing
71,(?i)camel(\s)?toe,Swearing
72,(?i)camgirl,Swearing
73,(?i)carpet(\s)?muncher,Swearing
74,(?i)(^|\s)rape,Swearing
75,(?i)deep(\s)?throat,Swearing
76,(?i)doggie(\s)?style,Swearing
77,(?i)(^|\s)escort,Swearing
78,(?i)squirt(s|ing|ed|(\b))?,Swearing
79,(?i)golden(\s)?shower,Swearing
80,(?i)hand(\s)?job,Swearing
81,(?i)lolita,Swearing
82,(?i)milf,Swearing
83,(?i)(\b)?piss(ing)?,Swearing
84,(?i)snowballing,Swearing
85,(?i)threesome,Swearing
86,(?i)towelhead,Swearing
87,(?i)yellow(\s)?showers,Swearing
88,(?i)(?<!knee[ -])\bjerks?\b,Swearing
89,(?i)shit.?head,Swearing
90,(?i)anilingus,Swearing
91,(?i)\barse\b,Swearing
92,(?i)apeshit,Swearing
93,(?i)auto(\s)?erotic,Swearing
94,(?i)blumpkin,Swearing
95,(?i)bollocks,Swearing
96,(?i)brown(\s)?shower,Swearing
97,(?i)bulldyke,Swearing
98,(?i)bullshit,Swearing
99,(?i)coprolagnia,Swearing
100,(?i)coprophilia,Swearing
101,(?i)cunnilingus,Swearing
102,(?i)hentai,Swearing
103,(?i)homoerotic,Swearing
104,(?i)jack(\s)?off,Swearing
105,(?i)\bass(\b),Swearing
106,(?i)\bf(.*)ck(s|ers|ed)?,Swearing
107,(?i)zoophilias,Swearing
108,(?i)jail(\s)?bait,Swearing
109,(?i)nigg?(a|er),Racial
110,(?i)\bnazis?,Racial
111,(?i)\bd\Wi\Wc\W*k\b,Swearing
112,(?i)c\Wo\Wc\W*k(?!tail|pit|roach),Personal
113,(?i)(\b)?stupid,Personal
114,(?i)\bg\Wa\Wy\b,Swearing
115,(?i)(\b)?idiot,Personal
116,(?i)(\b)?pervert(\b)?,Personal
117,(?i)(\b)?bastards?,Personal
118,(?i)\bf\Wa\Wg\b,Swearing
119,(?i)s\Wu\Wc\W*k\s(my|it),Swearing
120,(?i)f\Wu\Wc\Wk\Wo\W*f,Swearing
121,(?i)(\b)?get a life,Personal
122,(?i)(\b)?moron?,Personal
123,(?i)retard,Personal
124,(?i)c\Wo\Wc\W*k(?!tail|pit),Personal
125,(?i)hijacked account,Personal
126,(?i)c\Wo\Wc\W*k,Swearing
127,(?i)kolcak,Personal
128,"(?i)fuck.\s{0,1}(u|you|er|of)",Swearing
129,(?i)f.(u|n|c)k\s*(u|you|er|of),Swearing
130,(?i)(\b)?dick(head)?,Swearing
131,(?i)suck(\s)?(my|it),Swearing
132,"(?i)\ba\S{0,4}hole",Swearing
133,(?i)fag(got)?,Swearing
134,(?i)\bgay\b,Swearing
135,(?i)(^|\s)\bcock(\s|\.|!|\?|$),Swearing
136,(?i)\bhate(\s)?you,Personal
137,(?i)(\b)?ugly(\b)?,Personal
138,(?i)(\b)?femini,Personal
139,(?i)\btwat,Personal
140,(?i)faggot,Swearing
141,(?i)\bracis(t|sm)\b,Racial
142,(?i)negro(\b)?,Racial
143,(?i)\basian(\b)?,Racial
144,(?i)(\b)?suck,Swearing
145,(?i)(\b)?rubbish,Personal
146,(?i)(\b)?ridiculous,Personal
147,(?i)fuk,
148,(?i)(\b)?rtfm,
149,(?i)\bjews?,
150,(?i)\bhate\b,
151,(?i)(\b)?fcuk,
152,(?i)\bkill(\s)?(yo)?u,
153,(?i)(\b)?bast.*rd,
154,(?i)</s>,
